Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Year
5.0,3B,Ed Spiezio,29.0,97.0,340.0,308.0,16.0,71.0,10.0,1.0,7.0,36.0,6.0,5.0,22.0,50.0,0.231,0.28600000000000003,0.33799999999999997,0.624,82.0,104.0,8.0,4.0,1.0,5.0,3.0,1971
6.0,LF,Leron Lee*,23.0,79.0,275.0,256.0,29.0,70.0,20.0,2.0,4.0,21.0,4.0,5.0,18.0,45.0,0.273,0.321,0.414,0.735,114.0,106.0,4.0,0.0,1.0,0.0,4.0,1971
7.0,CF,Cito Gaston,27.0,141.0,547.0,518.0,57.0,118.0,13.0,9.0,17.0,61.0,1.0,0.0,24.0,121.0,0.228,0.264,0.386,0.65,88.0,200.0,10.0,2.0,2.0,1.0,1.0,1971
8.0,RF,Ollie Brown,27.0,145.0,542.0,484.0,36.0,132.0,16.0,0.0,9.0,55.0,3.0,3.0,52.0,74.0,0.273,0.34600000000000003,0.36200000000000004,0.7070000000000001,107.0,175.0,10.0,3.0,1.0,2.0,5.0,1971
1.0,C,Nick Hundley,25.0,78.0,289.0,256.0,23.0,61.0,15.0,2.0,8.0,30.0,5.0,1.0,28.0,76.0,0.23800000000000002,0.313,0.406,0.7190000000000001,97.0,104.0,2.0,1.0,1.0,3.0,1.0,2009
2.0,1B,Adrian Gonzalez*,27.0,160.0,681.0,552.0,90.0,153.0,27.0,2.0,40.0,99.0,1.0,1.0,119.0,109.0,0.27699999999999997,0.40700000000000003,0.551,0.958,162.0,304.0,23.0,5.0,1.0,4.0,22.0,2009
3.0,2B,David Eckstein,34.0,136.0,568.0,503.0,64.0,131.0,27.0,2.0,2.0,51.0,3.0,1.0,39.0,46.0,0.26,0.32299999999999995,0.33399999999999996,0.657,82.0,168.0,8.0,9.0,13.0,4.0,1.0,2009
4.0,SS,Everth Cabrera#,22.0,103.0,438.0,377.0,59.0,96.0,18.0,8.0,2.0,31.0,25.0,8.0,46.0,88.0,0.255,0.342,0.361,0.703,95.0,136.0,3.0,5.0,8.0,2.0,5.0,2009
5.0,3B,Kevin Kouzmanoff,27.0,141.0,573.0,529.0,50.0,135.0,31.0,1.0,18.0,88.0,1.0,0.0,27.0,106.0,0.255,0.302,0.42,0.722,97.0,222.0,25.0,11.0,0.0,6.0,3.0,2009
6.0,LF,Chase Headley#,25.0,156.0,612.0,543.0,62.0,142.0,31.0,2.0,12.0,64.0,10.0,2.0,62.0,133.0,0.262,0.342,0.392,0.7340000000000001,102.0,213.0,19.0,5.0,0.0,2.0,3.0,2009
7.0,CF,Tony Gwynn*,26.0,119.0,451.0,393.0,59.0,106.0,11.0,6.0,2.0,21.0,11.0,7.0,48.0,65.0,0.27,0.35,0.344,0.693,93.0,135.0,2.0,2.0,5.0,3.0,2.0,2009
